,line,__fileposition__
572,"MESA,AZ,66,19740731",14128
573,"KIEFER,OK,16,20250205",14148
574,"MARION,LA,54,19830105",14170
575,"LAGRANGE,GA,17,20250110",14192
576,"SAN BERNARDINO,CA,18,20240425",14216
577,"DICKSON,TN,55,19870415",14246
578,"ATLANTIC CITY,NJ,61,19650702",14269
579,"HESPERIA,CA,17,20241124",14298
580,"SAN ANTONIO,TX,16,20250205",14322
581,"DRIFTWOOD,TX,15,20250128",14349
582,"TEMECULA,CA,45,19861213",14374
583,"WASHINGTON,DC,17,20250115",14398
584,"NORTH AUGUSTA,SC,43,19851122",14424
585,"STERLING,AK,54,19780905",14453
586,"LEXINGTON,SC,43,19860606",14477
587,"LILLIAN,AL,70,19590618",14502
588,"ROSEMEAD,CA,60,19810806",14525
589,"OCEAN CITY,MD,17,20240922",14549
590,"MULLINS,SC,15,20250124",14575
591,"JOLIET,IL,14,20240419",14598
592,"MARYVILLE,TN,16,20221113",14620
593,"MODESTO,CA,54,19860425",14645
594,"LOS ANGELES,CA,16,20250129",14668
595,"COLUMBIA,SC,16,20240805",14695
596,"PHOENIX,AZ,56,19810228",14719
597,"GLENDALE,AZ,17,20250123",14742
598,"VEGA ALTA,PR,18,20250120",14766
599,"SAINT IGNATIUS,MT,47,19800430",14791
600,"TEHACHAPI,CA,28,19970428",14821
601,"VICTORIA,TX,17,20250201",14846
602,"POTOSI,MO,17,20250127",14870
603,"HANSON,MA,17,20250127",14892
604,"WOMELSDORF,PA,13,20250131",14914
605,"JOLIET,IL,50,19810721",14940
