city,state,age,dateMissing,state_code,city_code,cluster
GREENSBORO,NC,28,20160107,29,474,2
OKMULGEE,OK,29,20160202,38,885,0
RANCHO SANTA MARGARITA,CA,37,20070623,5,995,0
COLUMBIA FALLS,MT,65,19760421,28,255,1
ARLINGTON,VA,66,19761110,48,46,1
OMAHA,NE,18,20090209,31,888,0
OMAHA,NE,19,20090209,31,888,0
HARVEY,IL,26,20150427,15,501,2
MONROE,MI,45,19961025,23,776,1
SAN FRANCISCO,CA,45,19970623,5,1079,0
POPLAR,MT,26,20100314,28,962,0
CHATSWORTH,CA,37,19940920,5,214,2
LONG BEACH,CA,66,19750125,5,677,1
CHOCOWINITY,NC,37,20070310,29,224,2
DOWNEY,CA,33,20070530,5,317,2
ORMOND BEACH,FL,59,19810418,10,899,1
SCOTLAND NECK,NC,33,20100222,29,1113,0
LORAIN,OH,45,19981223,37,680,1
BLOOMINGTON,IN,34,20110603,16,113,2
SAN LUIS OBISPO,CA,48,19960525,5,1084,1
PERU,NE,33,20101203,31,936,0
EUNOLA,AL,33,20110908,2,365,2
WALTERBORO,SC,33,20110108,43,1284,0
AUSTIN,TX,37,20060707,46,61,2
SKIDMORE,MO,44,20010411,25,1138,1
ATLANTIC CITY,NJ,42,20021121,33,55,2
ORLANDO,FL,32,19970321,10,898,0
MIAMI,FL,40,19940511,10,746,1
FERN CREEK,KY,34,20050115,18,389,2
PHOENIX,AZ,47,19970620,4,942,1
VANCOUVER,WA,56,19870311,51,1261,1
COCOA BEACH,FL,60,19830706,10,247,1
STOCKTON,CA,55,19881018,5,1174,1
NEDERLAND,CO,62,19810724,6,817,1
SAINT LOUIS,MO,53,19910405,25,1063,1
OKLAHOMA CITY,OK,58,19860413,38,884,1
COPPERAS COVE,TX,57,19880425,46,266,1
WATERVILLE,WA,68,19760914,51,1296,1
BERKELEY,MO,38,20070313,25,93,2
ORANGE,VA,33,20100913,48,895,1
EL CAJON,CA,29,20150829,5,341,2
TURLOCK,CA,30,20110421,5,1240,0
WEBSTER,MA,51,19780930,20,1301,1
MORENO VALLEY,CA,37,20050707,5,787,0
BEL AIR,MD,25,20150731,21,82,2
LEHIGH,KS,66,19751025,17,653,1
WATERBURY,CT,43,19930320,7,1294,0
ORLANDO,FL,65,19760116,10,898,1
INKSTER,MI,67,19740816,23,555,1
SAN DIEGO,CA,39,20000501,5,1077,0
CHESTER,IL,55,19880902,15,218,1
CENTRALIA,IL,48,19911012,15,200,1
DES MOINES,IA,52,19860329,13,308,1
DEL VALLE,TX,34,20110517,46,304,2
JUPITER INLET,FL,24,20150724,10,580,0
TEQUESTA,FL,24,20150724,10,1204,0
LANCASTER,SC,48,19950214,43,634,1
UPPER DARBY,PA,12,20130408,40,1253,0
SELLS,AZ,31,20070603,4,1121,0
WEST POINT,VA,84,19570520,48,1309,1
BURLESON,TX,36,20041012,46,165,2
LOS ANGELES,CA,37,20030326,5,682,0
GAUTIER,MS,51,19891230,27,439,1
FERGUSON,MO,29,20121122,25,388,2
PINE BLUFF,AR,48,19940509,3,944,1
MOUNT VERNON,WA,33,20070707,51,798,1
MORGAN CITY,LA,63,19780302,19,788,1
SNOHOMISH,WA,59,19830205,51,1143,1
LONG BEACH,CA,76,19640817,5,677,1
NOCONA,TX,28,20150330,46,846,2
HOT SPRINGS,AR,55,19851204,3,540,1
BREMERTON,WA,32,20111028,51,139,2
CHAIN OF PONDS TOWNSHIP,ME,53,19750831,22,202,1
FREEPORT,TX,67,19740922,46,417,1
FAIRFIELD,AL,25,20150101,2,377,2
GREENWICH,NY,29,20071101,36,477,2
MEDFORD,OR,65,19770419,39,733,1
SANTA ROSA,CA,56,19810701,5,1104,1
BLYTHEVILLE,AR,53,19910930,3,118,1
PHOENIX,AZ,44,20000817,4,942,1
PHOENIX,AZ,65,19730920,4,942,1
OMAHA,NE,66,19770804,31,888,1
PLANTATION,FL,31,20070529,10,955,0
MOLINE,IL,40,19960821,15,773,1
ELY,NV,35,20030404,35,353,2
CRAIG,CO,60,19791121,6,275,1
OSCODA,MI,70,19691031,23,902,1
OSCODA,MI,72,19691031,23,902,1
TULSA,OK,56,19841201,38,1236,1
BETHESDA,MD,66,19770717,21,96,1
JACKSONVILLE,FL,68,19720513,10,563,1
PITTSBURG,CA,51,19911204,5,949,1
FREDERICK,MD,50,19871205,21,414,1
MARINA DEL REY,CA,61,19800117,5,718,1
LIBERTY,TX,41,20020514,46,658,1
MIAMI,FL,36,20080407,10,746,0
WHEATON,MD,60,19750325,21,1317,1
WHEATON,MD,62,19750325,21,1317,1
MODESTO,CA,58,19841104,5,772,1
CORNELIUS,OR,62,19770524,39,268,1
EAST HAVEN,CT,66,19770601,7,332,1
BROOKLYN,NY,34,20050810,36,147,2
SOUTH BOSTON,VA,30,20101204,48,1147,0
EL CIRUELO,,30,20090505,0,342,2
MONTEREY,CA,40,19980405,5,780,0
POCATELLO,ID,73,19710701,14,958,1
ELK GROVE,CA,14,20110401,5,348,2
ANACORTES,WA,56,19860125,51,29,1
BIRMINGHAM,AL,59,19800812,2,102,1
AUBURNDALE,FL,62,19811130,10,58,1
WINTER HAVEN,FL,59,19811116,10,1338,1
PHOENIX,AZ,82,19590506,4,942,1
GREENSBORO,NC,68,19741204,29,474,1
GOLETA,CA,64,19640123,5,456,1
RICHMOND,VA,42,19900416,48,1016,1
MEMPHIS,TN,42,20001231,45,736,1
MILWAUKEE,WI,51,19750820,52,762,1
